ImageNumber,ObjectNumber,Intensity_MeanIntensity_FullStackFiltered_c1,Intensity_MeanIntensity_FullStackFiltered_c10,Intensity_MeanIntensity_FullStackFiltered_c11,Intensity_MeanIntensity_FullStackFiltered_c12,Intensity_MeanIntensity_FullStackFiltered_c2,Intensity_MeanIntensity_FullStackFiltered_c3,Intensity_MeanIntensity_FullStackFiltered_c4,Intensity_MeanIntensity_FullStackFiltered_c5,Intensity_MeanIntensity_FullStackFiltered_c6,Intensity_MeanIntensity_FullStackFiltered_c7,Intensity_MeanIntensity_FullStackFiltered_c8,Intensity_MeanIntensity_FullStackFiltered_c9,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_NumberOfNeighbors_8,Number_Object_Number
1,1,9.849005040119995e-05,0.00029670320347779326,4.8397301762091996e-05,8.770084300200746e-05,0.00039272714933060636,0.0002640273182116675,1.541315342741783e-05,0.00024044519346771818,3.12887014576582e-05,0.00010295986489515112,1.0480944330644126e-05,0.0001379477231753896,63.656565656565654,4.717171717171717,0,4.0,1
1,2,9.640111478374285e-05,0.0003586767734411885,4.61361014886814e-05,8.186016450910007e-05,0.0003462900380220483,0.000238040741533041,1.4720468179267996e-05,0.00024522145771804977,2.962045426316121e-05,0.00010214568773174988,8.796377326635754e-06,0.00013320228523191284,94.45882352941176,3.4352941176470586,0,3.0,2
1,3,0.0001647497520025354,0.00026226443878840655,5.0307087803957984e-05,9.775310900295153e-05,0.0005118925037095323,0.0003569180662452709,3.480964369373396e-05,0.0003676470660138875,7.820248720236123e-05,0.00010109102004207671,1.9789044017670676e-05,0.00010728999768616632,104.109375,6.015625,0,4.0,3
1,4,7.702871628750402e-05,0.00026131074992008507,2.6996731041715695e-05,4.0935260655645e-05,0.00039306653511280625,0.00021876155425651142,7.189346853500376e-06,0.00016300743580079422,2.5822960126858492e-05,9.977052776286236e-05,5.868854574286021e-06,0.0001005041345846481,188.45192307692307,7.0673076923076925,0,2.0,4
1,5,9.777820607843368e-05,0.00042203242130773634,8.231840758143287e-05,5.0495315870074065e-05,0.00029724976201051553,0.00016855195893808022,8.432617362000441e-06,0.00015419643176229378,1.7266787931715188e-05,8.492850343157586e-05,6.62562792728606e-06,8.623355135664736e-05,278.17763157894734,10.05921052631579,0,4.0,5
1,6,4.81863849257168e-05,0.00021924805141201146,3.252580982485884e-05,5.019415096428833e-05,0.000281488798607729,0.00020117815706486764,1.0841936608286281e-05,0.00017066011327858033,2.449474567057271e-05,6.0232981157146e-05,1.6865234724000882e-05,0.0001144426641985774,296.7368421052632,5.7631578947368425,0,3.0,6
1,7,2.7810797966536015e-05,0.00014077678262706725,1.402845561143852e-05,2.3380759352397533e-05,0.00017227927943871867,0.00012970168609172106,4.6761518704795065e-06,9.942975556177478e-05,1.0582870022664146e-05,5.4391029651366894e-05,1.7227927943871868e-06,5.635993570209511e-05,329.1774193548387,3.5483870967741935,0,4.0,7
1,8,3.6211708671788674e-05,0.0002780785930078866,2.9834804000027144e-05,5.374819651913287e-05,0.00019426784589330652,0.00012594386726729015,1.0476343389322508e-05,0.00011546752387796766,1.844747422902442e-05,6.832397862601635e-05,4.7826785038211455e-06,9.178187795428198e-05,346.1641791044776,3.8955223880597014,0,3.0,8
1,9,7.4551221249359e-05,0.0002221277615587626,2.986408570515258e-05,4.643102376056569e-05,0.0006129767080502851,0.0002894854439156396,8.937427108841283e-06,0.00022147380347762788,2.2016588731535843e-05,5.340657662600279e-05,5.667636703167643e-06,4.991880019328424e-05,383.62857142857143,4.571428571428571,0,4.0,9
1,10,0.00012426628286834636,0.00023197702564347803,0.00017971736896369193,8.54704690354517e-05,0.00046764414154869667,0.0003116630288632282,1.5558218400852354e-05,0.000288026504754241,6.572349952667757e-05,0.00010122815177477653,1.08708064467494e-05,0.00012506414022223623,436.73202614379085,10.647058823529411,0,7.0,10
